platform,brand_name,tier,title,price,currency,condition,listing_id,url,original_price
ebay,Bottega Veneta,premium,Bottega Veneta Hand Bag Red Leather 2290680,464.06,USD,Pre-owned - Good,v1|318411366188|0,https://www.ebay.com/itm/318411366188?_skw=Bottega+Veneta+handbag&hash=item4a22cbdf2c:g:ooIAAeSwTrNqIl6x,
ebay,Bottega Veneta,premium,BOTTEGA VENETA Logo Intrecciato Nodini Shoulder Bag Leather Pink Italy 98KD841,598.0,USD,Pre-owned - Good,v1|257687393592|0,https://www.ebay.com/itm/257687393592?_skw=Bottega+Veneta+handbag&hash=item3bff5d9538:g:MR8AAeSwJfhqg9HA,
ebay,Bottega Veneta,premium,Authentic Pink Bottega Veneta Pink Top Handle Drawstring Bag,830.0,USD,Pre-owned - Excellent,v1|128007427110|0,https://www.ebay.com/itm/128007427110?_skw=Bottega+Veneta+handbag&hash=item1dcdd65426:g:bWIAAeSwlYhqYr95,
ebay,Bottega Veneta,premium,Bottega Veneta Intrecciato Leather Tote Bag w/Bottega Veneta Zippy Long Wallet,900.0,USD,Pre-owned - Good,v1|198566824870|0,https://www.ebay.com/itm/198566824870?_skw=Bottega+Veneta+handbag&hash=item2e3b814ba6:g:S0oAAeSw3lhqfQEj&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZWhm6JllC3gFPwDHw01gRY1GUmZ6t3fhw0kbQ5wJxwkYMkebxZK2HS6FbdkziN8qSaK4rQ1MefLiik9PPILQXfGIpPjeFRdm5Q5ja5Cfn7EJ4OyTY0OfgDdkaYHGRV7YWB35Ki%2BNGwzCwz2wlrh37i0h4mYJ1KdLpwAJ0yukK0aXSOul%2BqTmaSGTRDCMVoe73hhRq%2FgOuwYfnkgULGyI1RuYtbnARoyC6P0kH1Cx%2BH1xmzVtfk0AOVYzNI%2BQbxl9%2FLAK3NEQ0mQoelccNui7Z5OFwt0S8yMYarDPd%2FvLBH%2FA%3D%3D,
ebay,Bottega Veneta,premium,Bottega Jodie Bag,250.0,USD,Pre-owned - Excellent,v1|398309869292|0,https://www.ebay.com/itm/398309869292?_skw=Bottega+Veneta+handbag&hash=item5cbd1e46ec:g:c3cAAeSwGEZqh7uR&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZBVe8figcvc6%2BxBuCAMhA5%2BRoC3fhSy0fWdMiOr7qI5yIXTvlnTmJHUCVxLy1V6G8NIetPrqyg3WDp1jI4r8I6A3O1ZgmVE7CL30irIE9wO492DCbpb8OJBb0SKoTdVBQxAJIbE6%2FPtX3tOb9RVPXX%2FwscwCkp3uukTHcFgllSJBZQ75R92r942FmidtHD6nect4nVwUhC9Pf%2BSxs2s26WPMGZnojYEG7D0QvjBxP2cHBYQ8bGXzN8VB9ZcXEug7eTefwNZSkXs%2Ff6eN4VUa0iAf%2B%2FrQ7r%2Bj00vRw1rp7Pow%3D%3D,
ebay,Bottega Veneta,premium,BOTTEGA VENETA Intrecciato Hobo Bag Carmel Leather Shoulder Handbag Braided,429.0,USD,Pre-owned - Good,v1|358714840658|0,https://www.ebay.com/itm/358714840658?_skw=Bottega+Veneta+handbag&hash=item5385121652:g:gCgAAeSwNUBqOvot&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZFiwB%2Bd%2B2zdqZ6ZbYxzIufAdJYIDvUmRJIfkm5yxtqm9TBrMLu4Rln7CNr6NuaEtAWtnJ3YwrB%2BEfuH3H4jXpKnE10ZNKs7xWjjtGZhRgCMDLzd85FynLOl13j%2Byw%2FmsiNjfCLJ0I2sLYmeiuO1NfRES8XHyTybM9y%2BlbdwPAYJ0TaAu4i8UZyDnE1Q0E8NaIExAQXN2baIoKRQdqi6ueMs41wQklkBKE9Vafu%2FdkAk9DkqOhMJVB%2BIbgrz5CgsJylItwY28B8Pto5bHTfqUkSjOnNsDuetP%2FRQ9gwySL7ew%3D%3D,
ebay,Bottega Veneta,premium,BOTTEGA VENETA Reversible Shoulder Bag Leopard Print With Accessories From Japan,165.0,USD,Pre-owned - Excellent,v1|188469092866|0,https://www.ebay.com/itm/188469092866?_skw=Bottega+Veneta+handbag&hash=item2be1a22202:g:sE4AAeSwidpqIoi8&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbBrcL4MadeLPI3BnPg3gvRfluRrzlS3ajCrjnmToxoCmeyaTtCBRxmI6lBoEeWYgbZR%2FOn3H0RaFSC%2FyrsV24V70%2FAe%2FojYcmrdM9weslnJ4J%2Bpv5q%2B43N74hlNqwY%2F72p0KTdxnG2aEVtLFDhWJlep98x3SwmbY2GQJCEvSbWvV8ISsC%2FTcdqIbzoNdkw23Xrn06k73mTnqB7fUxHxaifHMpVhcI5aJUeRxu7Y2LA080DjTaK%2FtCBs18h6ldmgkvFtxsqyaORX6d8b%2FSWfV1wQAjdfxloyIFGjnEsnxvcag%3D%3D,
ebay,Bottega Veneta,premium,Bottega Veneta Intrecciato Black Leather Tote Bag with Dust Bag Pre-Owned,434.0,USD,Pre-owned - Excellent,v1|327309125765|0,https://www.ebay.com/itm/327309125765?_skw=Bottega+Veneta+handbag&hash=item4c3524e885:g:nJIAAeSw8fdqfm0k,
ebay,Bottega Veneta,premium,Bottega Veneta Intrecciato Leather Handbag Black Women Pre-Owned,728.0,USD,Pre-owned - Excellent,v1|327314688353|0,https://www.ebay.com/itm/327314688353?_skw=Bottega+Veneta+handbag&hash=item4c3579c961:g:4SkAAeSwu3ZqgxZx,
ebay,Bottega Veneta,premium,BOTTEGA VENETA INTRECCIATO Shoulder Bag Leather Black Gold Auth mr2335,384.96,USD,Pre-owned - Good,v1|306901512641|0,https://www.ebay.com/itm/306901512641?_skw=Bottega+Veneta+handbag&hash=item4774c171c1:g:VjwAAeSwXCBp7Iy6,
